Категория,Значение
B,61.40268
C,9.69564
B,21.48078
D,68.99599
A,95.63923
A,54.61262
B,80.48003
B,49.12237
A,59.13226
C,84.74606
C,94.65578
A,82.56553
C,44.54787
D,37.2851
A,57.84595
A,72.90282
C,7.20729
C,18.10982
C,7.90384
B,86.91358
C,59.73936
D,68.23324
A,0.37927
A,86.39499
B,54.96652
D,42.6263
B,56.77657
D,0.83814
D,20.89659
C,89.49155
A,57.9901
A,10.91445
C,53.69245
D,84.90055
C,19.29687
C,44.53203
D,47.43526
A,51.5747
C,10.28536
B,78.16551
A,75.3973
A,36.38088
A,64.89277
C,43.99965
D,80.83736
A,39.59732
B,77.10592
D,84.74869
A,40.10895
C,69.85424
B,17.76884
A,40.97079
B,1.37159
B,75.90288
B,83.91353
C,69.95267
A,54.88514
B,10.71105
C,45.10695
D,78.82382
C,87.24738
C,34.29327
A,45.50189
B,81.14531
D,43.08773
D,46.83474
D,14.88998
C,29.23134
B,68.46238
B,5.11704
D,90.74553
B,33.21573
A,94.10127
C,87.03414
C,74.18424
C,64.73939
D,34.97651
D,80.76736
C,12.12783
A,45.6577
D,15.7911
B,73.50927
A,98.78862
C,48.42989
C,9.31732
C,84.13573
C,15.63522
B,91.00254
C,35.60106
B,70.02571
B,9.15095
B,22.44429
D,70.29555
C,5.28556
B,22.30537
C,99.36357
D,34.70259
D,94.48586
B,20.59652
A,39.2375
B,70.01236
C,42.48031
C,35.28882
C,45.37184
D,17.77107
A,41.65543
D,75.80076
C,86.58669
A,27.31885
C,82.27681
D,96.21393
C,56.2236
A,46.82075
C,24.53883
C,2.31406
D,16.69924
B,8.34823
B,20.6963
D,26.63007
A,90.69117
B,25.24078
B,18.18082
C,55.48331
A,83.41539
A,36.94907
A,32.91849
D,93.25583
A,55.13401
A,32.89813
A,59.89504
B,83.83282
B,35.45086
D,46.96416
B,46.4068
B,96.57134
B,42.07021
A,80.5036
A,13.02237
D,28.74184
A,25.62262
B,26.09673
B,21.39479
C,12.095
B,48.06916
C,72.31902
C,10.6371
B,10.46086
A,50.10938
C,58.28156
D,16.80586
D,18.13829
D,20.97542
A,16.85599
A,72.36963
D,91.38205
A,38.31575
C,15.44616
A,3.53865
A,92.51828
B,72.20002
C,50.61532
B,65.09838
A,10.01044
C,96.51711
B,5.66909
D,27.53105
D,49.37109
D,10.24258
B,39.5182
A,3.48347
C,22.86411
D,34.59355
C,25.09493
B,60.41518
A,33.52908
B,92.63647
B,38.35591
A,27.96677
D,45.0302
B,56.43042
B,79.03941
C,75.7877
D,51.07953
B,16.19217
B,7.34894
D,74.3457
C,43.2163
D,30.11739
A,10.39094
C,25.17905
D,86.87014
D,39.5107
C,38.81798
A,19.9496
C,37.04402
C,18.47331
D,79.55108
B,66.95704
D,49.2391
B,54.46106
D,44.32598
B,89.96155
A,67.63733
D,93.8393
C,64.44438
B,19.0999
D,32.06625
A,94.30477
B,23.30459
D,28.68639
C,45.54725
A,48.39221
B,13.53558
B,43.30959
D,97.29243
D,89.89801
A,86.10921
B,21.24767
A,57.38127
D,59.70016
D,75.05691
D,3.93956
D,76.79736
D,44.30569
C,13.83525
B,47.47322
D,22.28058
D,6.54045
B,79.58893
C,92.71516
D,54.11731
A,21.01379
B,30.1834
A,87.22674
C,26.28583
A,29.03452
D,97.20766
C,44.85223
B,15.34865
