Категория,Значение
D,67.70582
D,96.63104
A,46.93426
C,15.69729
D,8.79641
B,28.16754
D,8.78972
B,76.61386
C,64.87257
C,88.85958
D,26.03128
B,61.52662
D,20.92033
B,62.74658
D,51.18126
A,33.14398
D,9.14666
B,88.30861
D,40.90587
B,46.76352
C,79.80927
C,86.64257
A,94.31907
D,93.28016
B,27.79719
A,25.41145
B,94.95054
B,57.14671
A,34.87003
B,50.67505
C,30.52334
C,27.43001
A,93.20665
B,71.92827
D,25.83748
D,3.99403
D,47.46099
B,18.36942
D,92.21989
D,17.92632
D,13.14334
B,41.23383
C,65.14457
C,40.40669
B,52.03256
B,62.72412
B,82.19293
B,14.35274
D,93.42041
B,68.5719
B,64.21625
C,44.39942
D,68.13098
B,60.48255
B,4.00183
C,23.78852
A,92.28268
C,45.0849
A,52.12642
A,5.47961
C,91.46859
C,90.32217
D,29.06004
B,89.74301
B,61.24565
B,57.27634
B,61.71483
D,18.86624
C,89.55842
A,34.51884
C,10.51321
B,11.34789
A,94.21765
D,16.90883
B,72.66599
A,26.65071
C,58.32505
B,28.39052
C,47.37148
A,6.4424
C,58.89086
C,79.63531
B,43.83419
D,53.75149
C,7.97185
A,78.36615
A,22.38731
B,79.05869
C,33.96496
B,34.19695
A,89.68333
D,84.29556
B,92.47632
C,58.26861
A,60.52209
B,0.7826
A,46.84731
C,92.02239
D,8.40776
A,71.57488
D,87.04949
C,97.66918
D,89.79809
A,75.38749
D,69.73806
B,95.75914
C,45.71004
C,91.21583
B,15.75433
D,55.16387
B,93.73204
D,43.87155
D,92.89747
B,89.94952
D,82.67745
A,91.5555
D,38.0565
D,83.59739
C,28.56343
B,74.26863
D,3.20391
D,92.20818
A,35.3895
C,82.62774
D,46.43171
A,86.41555
A,66.57049
B,20.28034
A,68.1778
B,98.49387
D,73.54039
C,80.20685
C,75.84944
D,28.24848
C,83.91527
C,57.41778
B,68.25138
C,56.90953
B,49.80999
A,26.96346
B,25.19608
A,11.36424
B,0.89818
D,24.51071
B,57.2331
A,64.80602
A,84.4253
B,31.79389
A,35.30633
C,13.04154
D,11.65849
B,0.11581
D,54.00648
A,14.12558
D,3.35585
C,79.79569
D,63.79199
B,66.35717
D,38.47845
C,39.80893
C,57.22821
C,71.64223
B,45.56051
D,3.96514
B,5.91724
C,94.87344
C,23.71892
D,22.74632
A,29.07484
A,2.6597
A,45.30612
B,79.11841
D,59.39297
D,58.97607
A,6.1405
D,0.28794
C,31.21097
D,31.04048
C,44.97018
A,81.95488
D,79.19814
A,85.12806
B,66.05607
A,46.30529
A,73.51976
C,54.63684
B,90.84295
D,1.69671
D,60.19399
A,41.8529
A,34.79285
D,31.66485
D,67.65622
D,42.96395
D,33.14963
A,67.2252
A,34.45631
C,35.46238
C,61.49381
C,37.0793
C,50.96662
D,86.78509
C,35.43796
A,46.12783
C,3.09737
