Категория,Значение
B,63.00216
B,73.81031
D,17.34437
C,17.69415
B,54.45023
A,77.53192
A,92.31958
D,79.48791
C,65.38806
D,77.75033
C,41.34234
C,81.01673
A,12.94052
B,24.49234
A,34.38742
C,30.79126
D,78.5086
B,37.96193
D,57.60865
A,98.31628
C,31.03876
C,61.18561
B,17.46496
D,7.1674
B,76.43149
A,86.82791
D,5.14003
D,95.23858
B,54.01684
D,16.32397
A,79.15218
C,26.82789
B,1.40224
C,2.87532
D,85.39917
D,32.90662
D,96.44566
D,17.30167
C,66.59311
D,34.687
B,49.53079
A,31.34716
C,89.62258
A,56.58028
A,45.59356
B,69.61182
B,50.99652
C,44.58214
C,69.98734
D,48.33624
B,42.10126
B,21.30392
B,7.7795
A,92.39654
D,96.29294
B,68.80738
D,66.88178
A,22.32787
B,47.85704
B,23.54784
A,99.24025
A,83.69441
C,34.10309
B,82.19214
A,29.0367
B,30.77801
A,32.06905
C,93.2916
B,85.6974
A,49.97862
C,85.19927
C,47.03897
C,68.68116
A,52.38437
A,67.87378
B,73.26372
A,43.19303
C,84.38407
A,54.70174
A,99.75657
A,38.75294
D,97.74557
D,93.17114
B,64.17312
A,54.42496
C,57.32293
D,49.75755
A,78.90502
C,67.52325
B,99.27345
D,11.96707
A,61.8021
D,33.95008
D,81.78562
B,98.68134
C,11.6119
C,26.60883
C,74.97971
A,74.85455
A,44.95278
C,13.81287
C,4.4831
A,71.4727
A,62.02043
B,63.24056
A,98.85456
B,50.99669
D,82.91629
C,15.91601
D,45.81224
A,84.34133
C,81.87745
B,86.59546
A,93.42656
C,8.31906
C,12.65701
C,94.84032
D,12.1189
B,60.18548
A,18.84865
C,83.02632
B,0.40823
B,70.6867
A,80.50294
A,41.28267
C,18.59227
C,33.12698
C,36.50476
A,0.28045
D,56.11515
D,79.69574
A,1.13948
B,79.41367
A,49.15401
A,9.34923
C,88.46921
D,66.18579
B,83.33418
A,4.60744
B,58.11452
D,51.07717
A,22.04796
B,97.28318
A,40.35012
B,9.52522
C,8.13186
A,58.61297
A,84.85661
B,80.82627
D,39.81328
D,13.12439
C,79.33431
B,35.85097
C,71.93884
C,34.41052
B,82.51629
B,63.34204
B,33.54762
A,5.14765
D,45.08207
A,36.50272
A,74.51926
C,81.57057
B,1.72928
B,79.34448
A,72.4376
A,68.16552
C,44.06496
B,53.26459
D,63.97631
D,4.95819
D,63.95801
B,35.75043
B,60.0698
B,75.24901
B,76.61297
B,16.72195
D,80.16445
D,18.12325
D,1.15105
A,78.99684
A,63.8547
D,56.32509
D,66.63671
B,71.56349
A,8.18842
A,8.75224
B,27.12993
A,10.20483
A,16.74753
C,57.42357
B,64.61261
B,69.36285
D,5.46025
B,41.81281
B,66.2529
C,55.53247
C,48.00326
B,66.42342
D,24.21142
C,65.87518
B,35.60987
A,11.10534
D,84.07219
B,66.23639
A,23.46902
C,19.99843
C,33.54724
D,93.35451
A,9.30068
C,92.22739
D,57.75702
A,94.78043
A,82.07872
C,29.33852
D,62.03282
A,66.93615
A,1.14434
D,98.35358
B,96.85614
B,80.55562
B,39.70107
D,71.80069
C,5.12283
A,34.83861
C,74.58224
C,29.039
B,85.90594
A,90.08529
B,59.65177
D,66.2477
D,28.00397
B,19.91469
B,42.78678
A,25.21543
D,24.36327
B,84.87101
D,39.21955
D,55.90942
D,97.89846
C,11.30862
A,76.40807
B,99.78332
C,27.61372
D,51.66317
C,20.81032
B,74.10793
B,69.46789
A,44.13295
A,71.03322
C,88.64844
B,28.16894
C,14.23618
C,33.26461
A,45.59439
D,94.17267
B,73.15139
D,29.09799
A,62.47446
C,19.01663
C,72.31029
C,9.6387
D,29.44261
D,59.98054
D,36.21973
A,63.5405
C,12.83509
D,85.1565
B,98.9404
A,6.5824
A,80.33392
B,92.58632
C,73.91389
C,62.87795
B,42.00787
B,13.79414
C,54.12236
D,86.23191
C,53.89753
A,97.44304
A,45.42346
B,99.93828
B,74.93948
B,50.27284
B,14.52017
A,3.54786
C,49.34964
B,88.6554
C,72.86011
B,73.24222
B,98.85098
B,5.47976
A,24.28348
C,60.55182
D,65.89949
C,21.13825
C,89.01251
C,87.62347
B,0.25563
C,20.45581
B,5.68668
C,74.4052
B,85.52546
A,67.62008
A,20.05004
C,18.44117
C,22.76351
D,39.99151
A,62.92448
A,14.3691
C,53.86248
A,13.92336
D,69.37491
C,66.52959
C,88.40734
C,96.77719
B,19.97484
A,49.48587
D,56.66565
D,99.55333
D,35.66634
A,45.19169
A,28.67959
D,12.35929
B,42.77714
A,78.06749
C,12.59959
A,24.87404
D,86.44151
D,58.47849
C,88.14596
D,48.04397
B,71.62256
C,51.0581
B,37.68884
C,41.45324
C,8.34544
B,48.48451
B,34.96521
B,46.76898
B,72.43024
C,58.74772
A,79.16774
B,86.12938
A,60.71405
D,66.64193
B,66.11499
C,25.2957
C,53.10838
B,55.96432
B,94.16892
D,71.47315
A,58.96347
B,20.06184
B,50.15494
C,86.29471
D,39.98592
D,81.2722
C,91.63406
C,62.61776
B,96.57231
B,96.67531
C,62.23906
B,90.5711
