Категория,Значение
D,42.39778
A,61.87018
A,10.39255
A,88.09709
B,53.78897
A,84.63552
D,77.53363
D,54.54033
B,95.13362
C,2.2205
A,42.00616
B,91.03132
B,32.42467
B,15.15631
B,43.38227
A,52.25739
A,46.5232
C,40.73919
D,28.16702
C,11.81478
A,55.32733
C,33.9405
C,52.44346
A,14.4307
B,74.28193
C,51.69944
D,11.01148
D,4.83115
B,36.56661
D,54.63958
C,60.4725
C,69.40372
B,90.50665
D,42.13543
A,3.42844
C,60.71325
D,85.76574
B,96.01238
A,74.78063
A,89.87055
B,99.99659
D,63.34709
C,88.37062
C,33.25766
D,81.8402
A,83.55361
B,65.69659
C,66.70408
B,48.2372
D,53.4018
C,81.17419
C,11.46401
B,36.92201
D,24.78424
C,46.12612
A,15.37925
C,80.16201
D,49.55397
C,62.81038
B,70.86889
B,13.90938
A,63.74826
A,77.76963
D,49.73539
D,17.10726
A,62.5335
A,23.23814
D,69.33981
A,79.70719
C,3.70909
C,75.23015
D,7.20547
C,35.13911
C,39.22555
C,50.64335
A,14.09698
A,52.53148
B,54.6062
A,60.54172
A,50.67872
C,51.82456
B,48.10577
B,10.46073
D,58.99944
D,14.06329
B,3.14697
D,52.03506
D,70.72545
D,72.63455
C,38.06774
D,88.17901
C,13.65681
B,61.63348
A,57.13458
B,71.29848
B,45.27729
C,10.70854
B,39.64491
B,76.05409
A,24.7491
C,22.30349
D,12.99682
A,59.19405
D,88.05505
D,43.84552
A,18.81468
C,37.7847
D,67.67444
B,98.84708
A,31.08089
D,70.9073
D,25.76189
D,50.93329
B,15.99973
B,53.30676
C,56.98623
A,29.99426
D,95.30338
D,98.08279
D,99.10521
D,2.17938
C,80.27398
B,80.29334
C,99.37039
A,69.69717
C,4.87197
A,34.83583
A,89.90558
D,98.19825
A,74.574
D,6.00193
B,16.30147
C,31.33419
C,63.65746
A,79.01642
D,84.89552
D,70.5262
B,16.6276
C,60.08058
C,8.35369
C,77.70154
B,69.42732
C,50.52919
D,64.15532
B,38.06042
C,67.84768
C,87.81705
B,68.55528
A,70.66542
A,86.32995
C,39.19138
C,37.50667
D,53.51202
D,10.18099
B,5.95006
A,38.31734
B,23.12792
A,25.83885
C,47.66589
D,44.26068
B,26.39115
B,31.29683
B,76.32507
A,89.61373
B,31.38129
D,52.78718
A,80.94435
B,15.25354
A,47.3669
B,44.85199
B,80.25851
A,81.32249
D,57.90973
C,52.12489
A,26.66873
C,40.45366
B,73.86401
C,41.52143
C,93.20683
A,25.78103
B,89.54698
D,62.23967
C,32.43514
B,24.75101
B,76.80048
C,60.51932
D,1.67757
B,16.82122
A,32.21186
A,34.63485
D,55.49562
B,74.7046
C,98.28257
C,66.30872
B,89.81604
D,43.08348
C,85.35784
B,30.02147
B,7.73932
A,45.58183
C,41.31384
C,49.79351
B,43.1478
D,7.01512
A,19.78712
D,65.33535
D,39.60941
A,92.68991
A,60.629
D,28.60098
B,61.3049
A,2.38459
B,95.6418
B,12.02413
B,69.08019
C,6.8599
C,83.78941
C,93.41519
B,87.89245
B,84.72813
D,28.80399
B,74.71412
A,31.71764
C,18.37198
B,22.71973
A,47.22187
D,86.77666
D,23.9911
C,15.71514
B,65.09192
B,97.23585
C,57.45367
D,31.04627
C,88.28387
B,31.97432
C,31.27646
A,89.85652
C,70.68671
D,10.52467
B,81.00623
D,67.19938
B,69.52396
A,91.68621
D,51.38264
D,0.16443
C,73.26991
B,66.76653
B,12.09264
B,39.82434
A,40.58585
D,44.95712
A,41.62728
A,91.15747
A,13.5906
B,32.18596
B,84.18358
A,20.07455
B,75.08815
C,11.70964
D,86.45649
B,90.26185
B,3.69899
C,31.62877
A,86.21016
B,83.4864
C,68.66868
B,87.23963
B,81.84669
C,33.849
A,87.86739
A,33.87086
D,83.45048
C,8.24088
C,0.52623
D,77.97866
A,65.32302
A,83.06195
C,85.77674
D,36.95723
B,79.79963
A,39.38978
D,25.07042
C,22.51311
D,77.35745
B,84.48836
C,29.76525
D,37.00919
D,44.85284
C,16.13572
C,40.59515
C,50.69119
C,15.50556
B,29.9827
B,54.52925
B,31.47714
D,54.76313
C,62.27901
D,66.20387
A,76.08256
A,96.44687
C,95.23411
D,33.87649
D,76.89341
B,89.99659
B,5.7639
C,58.84845
B,77.42903
A,89.80648
A,78.02527
B,58.18453
B,33.18047
B,32.95492
C,4.66067
C,63.53177
B,35.63698
C,59.8361
B,4.68335
B,7.67825
A,37.64497
A,63.7286
A,39.2552
D,78.39925
A,10.33231
A,83.20604
A,80.61805
A,3.79427
C,70.64534
C,49.10131
B,70.23725
D,64.64476
C,78.64297
B,22.48701
C,3.89512
A,79.47449
A,81.41562
B,13.40609
D,74.47635
C,66.64042
D,44.83334
A,72.28191
C,76.2679
B,4.88937
A,83.54
A,7.18232
C,33.70894
C,18.41535
B,84.47564
B,46.1757
B,31.91102
A,11.19856
C,39.97113
A,55.13017
B,27.11084
A,18.65726
C,7.34262
C,84.7385
D,3.47759
D,50.61863
A,51.69668
B,87.58904
B,68.02487
A,25.66439
B,89.8653
A,80.36753
C,27.15732
D,40.72365
C,71.02487
B,94.88681
A,25.51176
D,21.31866
D,43.39529
A,99.05302
D,59.73721
D,69.77692
B,33.18997
A,29.48716
C,93.01458
A,98.63941
D,80.08256
C,43.53907
